"cntry","ppltrst","pplfair","pplhlp","trstprl","trstplc","netusoft","vote","polintr"
"AT",5,4,8,7,10,3,1,3
"AT",5,5,5,5,7,5,1,2
"AT",6,6,6,7,8,5,1,2
"AT",7,7,8,3,8,5,1,3
"AT",6,7,7,4,0,2,1,3
"AT",9,4,7,10,10,2,1,2
"AT",5,8,8,5,8,5,2,3
"AT",2,5,5,7,10,4,1,2
"AT",5,5,6,8,7,1,1,2
"AT",8,7,8,5,9,1,1,3
"AT",8,8,8,7,7,5,1,2
"AT",8,7,7,7,6,5,2,2
"AT",1,3,3,4,6,5,1,2
"AT",5,5,5,2,8,5,2,3
"AT",7,7,6,4,8,4,1,3
"AT",6,7,6,4,8,5,1,3
"AT",0,0,0,0,0,5,2,4
"AT",7,8,8,9,10,4,1,2
"AT",4,7,6,7,10,4,1,3
"AT",6,7,8,5,8,5,2,2
"AT",7,6,7,6,9,4,1,2
"AT",6,6,6,6,8,5,2,4
"AT",5,3,5,0,8,5,1,4
"AT",0,5,4,0,7,1,1,4
"AT",8,8,8,5,10,5,2,3
"AT",5,8,4,6,6,5,1,1
"AT",4,5,4,NA,7,2,1,4
"AT",7,9,9,8,9,5,3,1
"AT",7,7,6,0,9,5,2,1
"AT",9,5,3,2,10,5,1,3
"AT",4,5,5,5,6,5,1,3
"AT",6,6,7,6,8,1,1,2
"AT",8,8,7,4,8,5,1,3
"AT",2,7,7,8,9,5,1,1
"AT",4,6,3,1,3,5,1,3
"AT",6,7,6,3,7,5,1,3
"AT",3,4,4,9,9,2,1,3
"AT",4,2,2,1,6,5,1,2
"AT",0,5,5,2,8,5,1,2
"AT",8,9,7,5,10,5,1,4
"AT",9,3,8,8,8,5,2,4
"AT",6,7,8,8,8,5,1,1
"AT",2,2,5,7,4,1,1,1
"AT",8,8,8,10,10,3,1,2
"AT",9,8,8,5,8,5,1,2
"AT",6,6,6,7,6,5,1,1
"AT",9,6,8,10,10,5,3,4
"AT",7,7,7,8,8,5,1,2
"AT",7,8,5,8,0,1,1,1
"AT",6,10,8,8,5,5,1,1
"AT",5,6,5,8,8,5,1,3
"AT",3,7,2,2,6,5,1,2
"AT",7,8,9,8,10,5,1,2
"AT",7,8,7,8,9,5,1,2
"AT",7,6,8,4,8,5,1,2
"AT",6,6,6,7,9,4,1,1
"AT",3,3,2,8,10,5,1,1
"AT",5,8,5,10,10,5,1,2
"AT",4,4,5,4,6,5,1,3
"AT",8,8,5,1,5,5,1,1
"AT",7,7,7,3,5,5,2,3
"AT",1,2,1,5,2,2,2,4
"AT",6,8,8,5,7,5,3,2
"AT",8,9,0,4,7,5,2,4
"AT",4,5,6,6,8,1,1,1
"AT",2,3,3,6,3,3,1,3
"AT",8,8,8,8,8,5,3,4
"AT",6,2,5,0,10,5,1,4
"AT",9,9,9,8,8,5,3,4
"AT",7,7,5,5,7,5,2,3
"AT",7,6,8,5,7,5,2,3
"AT",3,5,5,0,6,5,1,2
"AT",8,7,7,7,8,1,1,2
"AT",6,7,2,2,3,5,1,2
"AT",3,8,8,9,10,3,1,4
"AT",6,6,3,4,2,5,1,4
"AT",1,2,3,5,6,1,1,2
"AT",4,5,5,3,5,4,1,2
"AT",5,2,2,2,4,3,1,3
"AT",7,7,8,3,6,5,1,2
"AT",3,8,5,3,4,5,1,2
"AT",3,7,7,3,8,5,1,2
"AT",5,7,8,8,9,5,1,2
"AT",7,8,7,8,9,5,1,2
"AT",7,7,7,5,7,1,2,1
"AT",5,8,7,8,8,2,1,3
"AT",5,5,5,8,10,5,1,2
"AT",8,8,7,8,6,5,1,1
"AT",3,7,2,4,8,5,1,1
"AT",0,1,1,7,7,5,1,1
"AT",2,2,4,4,9,4,1,2
"AT",8,9,6,3,10,4,1,2
"AT",8,8,8,2,7,4,1,3
"AT",8,8,8,5,9,1,1,2
"AT",4,6,7,0,8,5,1,2
"AT",7,6,7,7,9,5,1,1
"AT",4,6,6,7,7,5,1,2
"AT",6,10,8,4,8,5,1,2
"AT",3,3,2,4,5,5,1,2
"AT",6,6,7,3,8,5,1,2
"AT",5,10,9,6,6,5,1,2
"AT",7,7,5,3,5,4,1,2
"AT",7,8,7,6,9,5,1,2
"AT",4,3,2,3,7,5,2,2
"AT",7,8,8,7,9,5,1,1
"AT",2,5,7,NA,8,1,1,3
"AT",0,3,6,7,9,3,1,2
"AT",6,6,6,7,7,5,1,2
"AT",7,8,7,5,7,5,2,3
"AT",6,8,7,6,10,5,2,2
"AT",6,6,7,2,1,5,1,2
"AT",7,6,5,5,7,5,1,1
"AT",8,7,4,2,6,5,1,3
"AT",8,8,6,7,9,5,1,2
"AT",5,5,5,4,7,1,1,3
"AT",2,0,1,0,1,5,1,1
"AT",7,8,6,6,7,5,2,3
"AT",4,5,6,6,5,5,1,2
"AT",8,8,7,6,9,2,2,3
"AT",7,8,7,6,7,5,1,1
"AT",3,5,6,5,8,3,1,2
"AT",5,6,7,7,8,5,1,3
"AT",8,6,3,4,6,5,3,1
"AT",8,3,5,5,3,1,1,1
"AT",5,6,5,4,8,5,1,2
"AT",3,4,4,2,0,5,1,1
"AT",9,9,8,6,8,5,1,1
"AT",1,2,1,1,4,2,1,3
"AT",4,4,4,3,2,5,3,1
"AT",6,10,8,0,10,5,1,2
"AT",6,6,8,8,10,5,1,1
"AT",7,7,7,7,8,5,2,3
"AT",8,8,8,5,8,5,1,2
"AT",7,6,7,6,8,5,1,2
"AT",8,7,8,3,8,5,1,3
"AT",7,8,7,5,9,5,1,2
"AT",5,6,5,5,7,1,1,2
"AT",3,5,5,5,8,1,2,2
"AT",4,6,7,6,8,1,1,3
"AT",9,9,9,6,9,5,3,2
"AT",8,8,7,9,10,5,1,2
"AT",5,3,3,3,10,5,1,2
"AT",7,7,5,2,9,5,1,2
"AT",6,7,7,7,9,5,1,2
"AT",5,7,5,4,6,5,1,1
"AT",5,10,5,7,8,2,1,3
"AT",3,7,4,0,0,1,1,1
"AT",4,6,3,7,10,4,1,4
"AT",7,7,7,7,8,5,1,2
"AT",6,7,6,5,6,5,1,1
"AT",10,10,10,8,10,5,3,3
"AT",6,6,6,5,7,5,2,4
"AT",3,7,5,5,8,5,2,2
"AT",5,7,6,10,10,5,2,3
"AT",4,5,5,2,9,2,1,NA
"AT",4,5,6,6,10,5,1,1
"AT",6,6,7,3,6,5,3,2
"AT",9,9,9,NA,NA,5,3,4
"AT",8,8,9,8,7,5,1,2
"AT",7,9,5,1,6,5,1,2
"AT",7,7,8,7,9,4,1,3
"AT",3,6,6,6,8,4,1,3
"AT",7,8,6,6,9,5,1,2
"AT",5,5,4,4,8,4,2,2
"AT",8,8,9,6,9,5,1,2
"AT",4,5,7,7,10,5,1,2
"AT",7,7,6,5,9,5,1,2
"AT",7,7,10,2,4,5,1,3
"AT",6,7,8,8,9,1,1,2
"AT",7,7,7,6,7,1,2,3
"AT",7,7,7,7,9,1,NA,3
"AT",6,10,6,6,6,5,1,2
"AT",5,7,3,7,6,5,1,2
"AT",8,7,6,5,7,4,1,2
"AT",9,8,9,5,10,5,1,3
"AT",4,10,7,5,10,5,1,2
"AT",5,10,7,7,8,5,1,2
"AT",8,7,6,7,8,5,1,3
"AT",4,7,7,6,8,5,1,2
"AT",3,5,2,0,8,5,2,3
"AT",6,5,7,7,8,5,1,2
"AT",8,8,8,5,7,1,2,2
"AT",7,9,8,6,9,1,1,3
"AT",6,5,6,5,5,5,2,3
"AT",4,5,7,1,5,5,1,4
"AT",1,5,5,3,6,5,1,1
"AT",6,5,7,8,9,5,1,2
"AT",4,6,4,6,7,1,2,3
"AT",8,7,8,5,9,5,1,3
"AT",7,7,6,4,8,5,1,2
"AT",8,7,7,6,9,5,1,2
"AT",2,2,10,3,8,5,3,2
"AT",6,8,10,4,4,5,1,4
"AT",8,9,7,5,8,4,1,2
"AT",6,5,5,5,8,3,1,2
"AT",6,6,6,4,8,5,2,3
"AT",5,5,5,8,10,1,1,2
"AT",6,5,5,4,7,1,1,2
"AT",4,6,6,5,8,3,1,2
"AT",5,10,8,8,10,5,1,2
"AT",7,8,8,6,9,5,1,2
"AT",7,6,5,2,7,5,1,3
"AT",5,5,5,7,10,1,2,2
"AT",8,8,8,7,9,1,2,3
"AT",4,5,3,9,8,5,1,1
"AT",5,7,1,5,7,5,1,2
"AT",7,8,1,5,7,5,1,1
"AT",7,7,6,4,7,5,1,3
"AT",3,6,4,2,3,5,1,2
"AT",8,6,7,7,9,5,1,1
"AT",6,8,8,7,7,1,2,3
"AT",3,3,1,7,7,5,NA,1
"AT",8,8,8,6,8,5,2,4
"AT",3,2,4,0,6,5,1,1
"AT",10,8,6,5,9,4,1,1
"AT",5,3,7,4,6,1,1,1
"AT",7,7,6,3,5,5,1,3
"AT",7,6,7,8,8,5,1,4
"AT",9,10,9,3,9,5,1,3
"AT",5,4,5,5,7,5,1,2
"AT",8,8,5,9,9,5,1,3
"AT",5,8,8,7,10,1,2,3
"AT",10,9,4,0,4,3,1,3
"AT",7,7,7,6,6,5,1,3
"AT",7,7,7,4,7,4,1,3
"AT",8,8,7,6,9,5,1,1
"AT",1,8,2,1,5,5,1,1
"AT",8,9,8,9,10,1,1,1
"AT",6,7,5,9,10,4,1,3
"AT",4,8,7,6,7,5,1,2
"AT",5,5,5,8,8,1,1,2
"AT",8,7,7,4,8,5,1,2
"AT",5,7,2,5,8,5,1,2
"AT",6,7,8,4,7,5,2,3
"AT",8,9,8,4,9,1,1,3
"AT",1,4,5,3,8,5,3,2
"AT",7,7,7,6,9,1,1,1
"AT",8,7,8,5,8,5,1,3
"AT",7,7,7,5,7,5,1,3
"AT",5,4,4,1,5,5,2,2
"AT",9,8,7,5,6,4,2,3
"AT",4,4,5,3,8,5,1,3
"AT",7,5,6,7,7,5,3,4
"AT",5,7,7,7,8,5,1,1
"AT",4,5,5,2,8,3,1,3
"AT",2,3,2,4,7,5,1,3
"AT",8,8,7,6,9,5,1,3
"AT",9,9,5,5,5,5,2,3
"AT",7,8,7,5,9,5,1,2
"AT",8,9,10,4,3,5,3,1
"AT",5,5,7,5,5,5,1,2
"AT",6,6,6,5,6,5,2,4
"AT",8,9,8,0,10,5,2,3
"AT",7,7,4,3,2,5,2,4
"AT",4,6,6,6,8,4,1,2
"AT",3,4,3,2,4,3,2,2
"AT",4,4,7,8,10,5,1,1
"AT",6,3,8,10,10,1,1,3
"AT",0,5,3,0,5,5,1,3
"AT",4,3,2,6,5,5,2,3
"AT",5,2,5,6,8,5,1,3
"AT",10,7,8,8,10,1,1,1
"AT",7,6,8,6,7,1,1,1
"AT",3,6,6,0,5,5,1,1
"AT",8,10,8,6,7,5,1,2
"AT",6,4,7,10,10,4,1,2
"AT",8,9,5,5,9,1,1,2
"AT",7,8,8,5,9,3,1,3
"AT",6,10,5,1,5,5,1,3
"AT",8,9,8,5,8,5,1,3
"AT",8,7,6,5,8,5,1,3
"AT",6,7,7,6,8,4,2,3
"AT",4,5,6,5,6,3,1,3
"AT",8,8,8,6,9,5,1,2
"AT",7,7,7,8,5,4,1,2
"AT",7,8,8,6,8,1,1,2
"AT",5,8,10,0,6,5,1,3
"AT",6,7,6,3,4,5,2,4
"AT",6,8,8,7,9,5,2,4
"AT",8,8,8,8,10,1,1,2
"AT",7,7,7,7,9,4,1,2
"AT",5,6,6,6,8,5,1,2
"AT",8,7,8,5,8,5,1,3
"AT",9,9,9,6,9,5,1,2
"AT",5,5,5,4,4,5,1,3
"AT",7,7,7,5,8,1,1,3
"AT",5,3,6,4,7,5,2,3
"AT",7,8,8,7,9,5,1,3
"AT",9,5,8,9,10,5,1,3
"AT",5,3,3,4,8,5,1,3
"AT",5,2,0,0,9,5,1,2
"AT",7,5,5,5,7,5,1,1
"AT",5,5,7,7,6,5,1,2
"AT",7,10,10,7,10,5,2,3
"AT",7,8,7,9,9,3,1,2
"AT",3,6,6,7,9,5,1,2
"AT",6,6,5,7,9,5,1,2
"AT",7,8,7,5,9,5,1,3
"AT",2,8,5,2,5,5,1,2
"AT",6,7,8,0,9,5,3,2
"AT",9,9,8,7,8,5,1,1
"AT",6,8,5,NA,8,2,1,3
"AT",8,9,9,9,9,5,3,3
"AT",5,5,5,1,9,5,1,1
"AT",9,9,9,7,9,5,1,3
"AT",7,6,7,2,3,5,1,2
"AT",7,8,6,4,8,1,2,4
"AT",4,5,5,3,9,4,2,3
"AT",6,5,7,5,8,4,1,1
"AT",1,8,8,1,7,5,1,3
"AT",5,7,7,3,8,1,1,2
"AT",0,5,5,0,5,5,1,4
"AT",6,7,6,7,8,5,1,2
"AT",8,8,7,6,6,5,1,3
"AT",8,4,8,7,10,4,1,3
"AT",5,6,6,7,8,5,1,1
"AT",1,5,7,1,2,2,1,2
"AT",10,10,9,8,10,5,1,2
"AT",8,9,7,6,7,5,1,3
"AT",4,4,5,9,9,3,1,2
"AT",2,2,0,5,7,5,1,2
"AT",4,4,5,2,3,5,2,3
"AT",7,4,8,10,10,4,1,2
"AT",4,6,7,3,3,4,3,2
"AT",4,7,5,2,6,2,1,2
"AT",7,7,8,6,8,5,1,2
"AT",7,7,7,6,7,5,1,1
"AT",3,3,2,1,6,5,2,1
"AT",6,8,8,6,9,5,2,3
"AT",7,7,7,7,8,5,2,4
"AT",9,7,7,3,10,5,1,2
"AT",8,6,6,5,7,1,1,3
"AT",3,4,4,7,8,5,3,3
"AT",8,6,7,8,9,5,1,1
"AT",7,7,7,8,10,5,1,1
"AT",10,10,10,7,8,4,1,3
"AT",7,5,7,6,8,5,3,2
"AT",7,5,5,4,6,5,1,3
"AT",8,7,7,4,9,5,1,3
"AT",5,5,5,5,2,4,1,1
"AT",6,7,2,4,1,5,1,3
"AT",3,8,2,4,6,5,1,2
"AT",7,8,6,6,9,5,1,1
"AT",7,7,7,7,9,5,1,2
"AT",9,7,7,8,6,5,1,2
"AT",7,7,6,4,5,2,2,3
"AT",6,6,7,3,5,5,2,4
"AT",4,4,4,5,8,5,1,2
"AT",7,7,6,5,7,5,1,1
"AT",1,2,1,4,3,2,1,3
"AT",9,9,9,6,10,5,1,3
"AT",3,4,4,5,7,1,1,2
"AT",7,8,6,7,10,1,2,4
"AT",6,6,6,5,8,5,NA,3
"AT",7,7,8,7,9,5,1,2
"AT",7,7,8,7,9,1,1,2
"AT",4,6,5,5,2,4,1,3
"AT",7,6,6,7,8,5,3,4
"AT",7,6,7,5,8,2,1,3
"AT",10,9,9,9,9,5,1,1
"AT",10,10,10,10,5,5,1,1
"AT",5,7,7,8,7,5,1,1
"AT",9,9,8,7,10,5,3,3
"AT",6,7,9,8,9,5,1,2
"AT",7,7,7,5,8,1,1,3
"AT",5,5,7,5,7,2,1,2
"AT",6,7,8,7,8,5,1,3
"AT",4,3,6,4,10,1,1,2
"AT",7,7,5,9,5,5,1,1
"AT",7,8,7,9,9,5,1,2
"AT",9,9,8,6,6,5,1,1
"AT",4,4,4,3,2,2,2,4
"AT",5,4,5,4,6,5,3,2
"AT",6,7,7,8,9,5,1,2
"AT",8,8,9,7,9,5,1,2
"AT",7,7,7,6,9,5,1,3
"AT",9,5,4,6,8,5,1,3
"AT",2,3,4,1,2,1,1,2
"AT",3,7,4,8,6,5,1,3
"AT",4,4,3,7,9,5,1,3
"AT",9,9,10,7,6,5,1,3
"AT",5,8,5,0,9,1,1,3
"AT",5,9,10,5,6,5,1,3
"AT",8,8,5,9,9,5,1,1
"AT",8,7,7,4,8,5,1,2
"AT",3,3,5,6,8,5,3,3
"AT",7,7,7,5,7,3,1,2
"AT",8,8,8,5,8,3,1,1
"AT",6,6,6,7,8,1,2,2
"AT",7,9,4,0,5,5,1,1
"AT",5,5,6,5,10,5,1,2
"AT",4,4,4,4,4,5,1,2
"AT",8,3,7,5,8,5,1,2
"AT",3,10,7,5,7,5,1,2
"AT",8,8,8,5,9,1,2,3
"AT",5,5,5,1,7,5,1,2
"AT",7,6,7,8,8,3,1,2
"AT",5,5,7,7,7,5,1,2
"AT",5,7,6,3,6,5,1,3
"AT",7,9,8,2,9,5,1,2
"AT",2,2,2,5,7,5,1,1
"AT",7,8,9,3,7,5,1,2
"AT",5,5,5,5,5,5,1,3
"AT",6,6,6,7,9,5,1,2
"AT",5,8,8,NA,9,5,3,4
"AT",9,8,9,3,5,1,1,4
"AT",6,9,8,7,5,4,1,2
"AT",7,7,7,3,10,5,2,2
"AT",6,7,7,2,9,5,2,4
"AT",0,1,0,1,8,5,1,3
"AT",8,8,8,6,8,5,1,2
"AT",7,6,8,8,8,1,1,2
"AT",7,8,8,5,9,4,1,2
"AT",8,8,7,9,10,3,1,2
"AT",5,5,6,7,9,5,1,3
"AT",7,6,7,6,7,5,1,2
"AT",9,9,9,8,10,5,3,3
"AT",4,5,4,7,8,5,3,3
"AT",8,5,3,1,3,1,1,4
"AT",6,7,5,6,8,5,1,1
"AT",7,7,7,6,8,5,2,3
"AT",7,8,7,7,8,5,1,3
"AT",7,8,7,8,9,5,1,3
"AT",6,4,8,7,10,5,2,3
"AT",7,7,4,3,10,5,1,1
"AT",4,5,5,7,10,1,1,2
"AT",3,10,4,4,10,5,1,1
"AT",8,7,7,5,8,4,1,2
"AT",5,5,5,7,8,1,1,1
"AT",0,10,8,4,7,1,1,3
"AT",7,7,7,0,6,1,2,2
"AT",5,8,7,0,7,4,1,2
"AT",6,8,3,3,9,5,1,3
"AT",5,3,4,4,5,5,1,3
"AT",4,10,9,4,8,5,1,3
"AT",7,8,7,5,9,5,1,3
"AT",7,7,8,4,8,5,1,2
"AT",4,4,6,7,8,5,1,2
"AT",8,8,8,10,10,4,3,3
"AT",6,6,6,5,7,4,2,2
"AT",6,8,7,3,5,5,2,3
"AT",5,6,6,1,3,1,1,1
"AT",5,6,3,7,8,5,3,1
"AT",3,6,4,3,8,1,1,3
"AT",3,3,4,2,6,5,1,2
"AT",6,7,6,5,8,5,1,2
"AT",7,7,5,4,7,5,1,2
"AT",4,5,4,3,3,5,2,3
"AT",8,7,8,5,9,5,2,3
"AT",5,6,6,2,9,1,2,3
"AT",7,6,7,7,7,1,1,4
"AT",8,7,7,5,8,5,1,2
"AT",7,5,1,8,4,5,1,1
"AT",8,4,8,10,10,1,1,2
"AT",0,0,10,0,6,2,1,2
"AT",6,8,6,3,10,5,1,3
"AT",8,8,7,7,9,5,1,3
"AT",6,10,8,6,8,5,1,1
"AT",7,7,7,5,8,5,2,3
"AT",6,5,7,5,9,5,2,3
"AT",2,3,8,0,0,1,1,3
"AT",3,9,4,7,10,5,1,2
"AT",4,7,8,9,5,5,3,2
"AT",3,5,6,0,0,4,1,3
"AT",7,7,7,3,6,5,1,3
"AT",5,8,6,9,10,5,1,1
"AT",5,8,3,1,8,2,2,3
"AT",7,8,6,5,9,5,2,4
"AT",5,7,4,0,3,3,1,4
"AT",8,8,8,5,8,4,1,3
"AT",9,9,8,9,9,5,2,4
"AT",4,6,6,6,8,4,1,2
"AT",5,5,5,6,8,5,1,3
"AT",5,5,6,3,6,3,1,3
"AT",9,8,7,8,5,4,1,2
"AT",9,7,9,10,10,4,1,2
"AT",6,7,7,6,8,3,1,2
"AT",5,8,5,3,8,5,1,1
"AT",6,7,6,5,9,2,1,3
"AT",4,5,6,6,8,4,2,3
"AT",3,4,7,3,5,1,1,2
"AT",8,10,10,0,5,5,2,3
"AT",0,10,5,5,8,5,1,2
"AT",6,4,5,6,9,5,1,3
"AT",6,8,7,7,9,5,1,3
"AT",7,7,6,8,7,5,1,1
"AT",5,5,5,7,9,5,1,3
"AT",7,3,5,3,9,5,2,3
"AT",3,5,2,9,8,1,1,1
"AT",5,5,5,7,9,4,1,2
"AT",8,7,8,10,10,1,1,2
"AT",6,7,7,2,7,3,1,3
"AT",6,7,8,0,0,5,3,4
"AT",8,6,6,3,3,5,1,1
"AT",6,6,7,5,8,4,1,3
"AT",7,8,7,10,10,1,1,2
"AT",5,5,5,0,5,5,1,4
"AT",7,7,7,1,8,5,1,3
"AT",8,2,8,8,10,5,3,4
"AT",3,8,4,5,10,5,1,3
"AT",5,6,7,4,9,5,1,3
"AT",7,7,7,6,9,5,1,2
"AT",7,10,7,7,8,5,1,2
"AT",2,0,0,5,10,1,2,3
"AT",9,9,9,10,10,4,1,2
"AT",7,7,7,7,8,5,1,3
"AT",6,7,7,5,7,2,1,3
"AT",6,6,6,5,9,5,1,2
"AT",8,4,7,6,7,5,1,2
"AT",7,7,7,0,5,5,2,3
"AT",5,7,10,7,7,5,2,4
"AT",7,7,8,6,8,5,1,1
"AT",1,8,2,0,3,5,1,3
"AT",7,8,9,5,8,5,1,2
"AT",4,5,5,8,9,4,3,2
"AT",8,8,8,5,8,5,1,2
"AT",1,5,5,4,6,5,1,3
"AT",8,7,8,5,8,5,1,2
"AT",6,10,5,3,5,5,1,2
"AT",5,5,5,7,7,1,2,3
"AT",3,3,2,4,4,5,2,3
"AT",5,6,6,5,5,4,1,3
"AT",5,3,3,5,7,5,1,2
"AT",6,9,7,8,5,5,1,1
"AT",4,8,7,4,7,5,1,2
"AT",5,4,5,5,8,4,1,3
"AT",3,4,1,NA,4,4,1,3
"AT",5,6,7,5,5,1,2,3
"AT",6,6,7,10,10,3,1,2
"AT",5,7,4,4,8,4,1,2
"AT",5,5,4,0,10,5,2,3
"AT",6,7,8,5,10,4,1,2
"AT",7,10,7,5,5,5,1,3
"AT",3,4,4,1,6,2,1,3
"AT",1,3,3,2,5,3,2,3
"AT",8,8,8,6,10,5,2,3
"AT",4,4,3,3,3,4,2,3
"AT",5,8,8,8,9,5,1,2
"AT",7,5,8,6,9,1,1,2
"AT",8,7,6,7,8,5,1,3
"AT",8,9,9,1,9,5,1,2
"AT",3,3,2,9,9,5,1,1
"AT",6,7,7,4,7,5,2,4
"AT",6,8,6,3,7,5,1,3
"AT",4,7,7,3,9,4,1,1
"AT",7,7,5,7,7,5,1,1
"AT",6,7,6,7,9,5,1,3
"AT",8,7,8,6,9,5,1,3
"AT",5,3,5,4,6,5,1,1
"AT",3,5,5,0,7,5,1,4
"AT",5,5,5,3,8,5,1,3
"AT",7,7,6,5,9,5,1,2
"AT",7,7,6,5,8,1,1,2
"AT",3,8,6,5,8,5,1,2
"AT",6,7,7,7,7,4,2,2
"AT",5,7,5,2,9,5,1,1
"AT",2,5,3,NA,8,5,1,3
"AT",7,3,4,8,10,5,1,3
"AT",5,5,3,4,4,5,1,2
"AT",3,7,5,2,10,5,1,3
"AT",8,7,7,4,8,5,1,3
"AT",8,8,9,2,5,5,2,3
"AT",8,8,8,6,8,5,2,4
"AT",4,6,7,6,9,5,1,3
"AT",6,7,7,8,8,5,1,1
"AT",7,7,8,6,9,5,1,2
"AT",6,5,6,7,5,4,1,2
"AT",5,5,5,3,7,5,1,3
"AT",1,5,5,5,2,5,3,2
"AT",8,8,7,5,4,5,1,2
"AT",4,5,5,8,8,5,3,3
"AT",8,8,7,6,8,5,2,3
"AT",0,6,5,2,4,3,1,1
"AT",7,8,8,6,8,4,1,4
"AT",5,7,7,8,10,1,1,2
"AT",8,8,8,5,9,1,1,2
"AT",3,8,7,6,8,5,1,3
"AT",8,7,8,6,9,5,1,2
"AT",7,6,6,4,8,5,1,3
"AT",5,7,5,0,8,4,1,2
"AT",8,4,8,9,9,1,1,2
"AT",8,9,9,7,10,3,1,2
"AT",8,7,8,10,10,1,1,2
"AT",8,8,6,6,9,4,1,3
"AT",8,8,8,7,5,5,1,2
"AT",9,9,9,7,10,5,2,4
"AT",8,8,8,8,8,5,1,3
"AT",4,4,2,3,5,1,1,3
"AT",5,7,5,5,7,1,2,2
"AT",8,10,9,7,7,5,1,2
"AT",6,8,6,3,5,5,1,1
"AT",5,5,5,2,8,5,1,3
"AT",4,5,6,0,0,5,1,4
"AT",3,8,4,1,10,5,1,3
"AT",7,1,8,5,9,1,1,3
"AT",7,7,9,6,7,5,3,3
"AT",3,6,7,0,8,5,1,2
"AT",7,6,6,5,7,1,1,1
"AT",5,5,5,2,8,5,2,2
"AT",6,6,7,3,5,5,1,2
"AT",8,5,9,10,10,3,1,2
"AT",5,7,4,5,7,5,1,1
"AT",8,8,8,6,9,5,1,3
"AT",7,7,7,8,8,5,3,4
"AT",5,6,3,6,8,5,3,2
"AT",5,10,8,5,6,2,1,3
"AT",2,3,3,4,8,1,1,3
"AT",8,6,7,9,9,5,1,1
"AT",7,7,7,8,9,5,1,2
"AT",5,8,4,3,7,5,1,1
"AT",5,6,7,7,9,3,1,2
"AT",4,6,6,3,10,5,1,3
"AT",7,7,6,7,10,5,1,3
"AT",2,3,3,4,4,5,2,3
"AT",10,10,6,0,5,5,2,4
"AT",6,9,7,5,6,5,1,1
"AT",2,2,2,0,0,5,1,4
"AT",9,9,8,7,8,5,1,3
"AT",4,6,7,5,7,5,1,3
"AT",3,10,7,5,5,2,1,2
"AT",5,5,3,3,8,5,1,3
"AT",5,5,3,5,7,5,1,3
"AT",6,6,6,6,10,5,1,2
"AT",8,7,8,8,8,5,3,2
"AT",8,5,5,4,8,5,3,2
"AT",1,5,5,2,9,2,1,3
"AT",6,7,8,5,8,1,1,2
"AT",7,8,7,5,8,5,2,4
"AT",6,7,6,6,7,5,1,1
"AT",5,3,7,3,10,5,2,4
"AT",5,5,5,5,7,4,2,3
"AT",6,7,7,5,7,5,2,4
"AT",6,6,7,5,5,5,1,2
"AT",4,7,8,7,8,1,1,3
"AT",7,7,7,7,8,5,1,2
"AT",6,6,6,4,8,5,1,3
"AT",7,7,7,8,8,5,1,2
"AT",8,9,7,5,6,5,1,2
"AT",9,9,9,7,10,5,2,3
"AT",7,7,7,2,3,1,2,4
"AT",6,5,6,7,7,5,1,2
"AT",9,7,9,3,10,5,2,3
"AT",5,4,6,2,10,5,1,3
"AT",8,7,8,5,8,5,1,2
"AT",6,6,7,4,6,5,3,3
"AT",8,10,7,7,6,5,1,1
"AT",8,6,4,2,4,4,1,2
"AT",5,8,7,6,6,2,1,4
"AT",5,7,8,5,9,1,1,2
"AT",5,7,7,7,8,5,2,2
"AT",0,0,0,3,3,5,1,4
"AT",1,3,3,4,4,5,2,3
"AT",8,8,8,9,10,5,1,1
"AT",6,7,7,7,9,3,1,3
"AT",8,8,8,8,6,5,1,2
"AT",7,8,7,5,7,5,1,3
"AT",5,7,7,4,8,4,2,3
"AT",1,1,1,0,0,1,1,3
"AT",6,6,7,8,8,2,1,3
"AT",3,5,4,3,6,5,1,3
"AT",0,2,2,0,10,5,2,3
"AT",7,1,6,5,10,3,2,3
"AT",5,8,3,6,7,5,1,3
"AT",3,8,4,3,0,5,2,3
"AT",5,5,8,8,8,5,1,1
"AT",7,4,5,5,2,5,2,4
"AT",7,7,7,5,8,5,1,3
"AT",8,6,8,7,9,5,1,2
"AT",6,5,1,8,9,5,2,3
"AT",3,3,5,7,9,2,1,1
"AT",6,5,4,8,8,5,1,2
"AT",7,8,3,7,9,5,1,1
"AT",7,8,8,6,8,5,1,2
"AT",7,9,5,8,10,5,1,1
"AT",3,3,3,1,5,1,1,2
"AT",7,7,3,6,3,5,1,3
"AT",5,4,2,2,4,5,2,4
"AT",6,7,7,6,7,4,2,2
"AT",2,4,1,9,9,5,2,3
"AT",5,9,8,6,8,4,1,2
"AT",5,5,4,0,8,2,1,2
"AT",6,5,8,0,7,5,2,2
"AT",6,7,6,3,8,5,1,3
"AT",9,9,9,6,10,5,1,4
"AT",8,10,10,3,7,4,2,4
"AT",2,4,3,7,8,1,1,2
"AT",6,6,5,6,7,5,1,1
"AT",3,6,4,5,9,1,2,3
"AT",2,3,3,2,0,3,1,3
"AT",7,7,8,6,9,2,1,2
"AT",10,8,10,0,8,5,1,1
"AT",7,7,7,1,7,5,2,4
"AT",7,8,6,5,8,1,NA,2
"AT",6,7,5,2,3,1,1,3
"AT",6,7,8,6,10,5,2,2
"AT",4,5,6,2,9,3,1,2
"AT",2,7,0,2,7,2,2,3
